hotel_df,City,Country,Max Temp,Lat,Lng,Hotel Name
348,Itarema,BR,79.44800000000004,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
355,Bhuj,IN,78.74600000000005,23.2667,69.6667,Regenta Resort Bhuj
358,La Palma,US,82.02200000000005,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
360,Soyo,AO,78.22400000000002,-6.1349,12.3689,Hotel Mpampa
362,Lascahobas,HT,76.51400000000004,18.8294,-71.9364,oasisinn lascahobas
364,San Patricio,US,84.434,28.017,-97.5169,"Motel 6 Sinton, TX"
371,Nam Som,TH,81.71600000000001,17.7704,102.1895,โรงแรมวุฒิโชค น้ำโสม ที่พักไกล้วัดป่าภูก้อน ราคา 500฿
373,Sorong,ID,78.674,-0.8833,131.25,Waigo Splash Hotel
376,Petatlan,MX,87.87200000000004,17.5167,-101.2667,Hotel California Petatlán
377,Bosaso,SO,82.65199999999999,11.2842,49.1816,Red Sea Hotel
379,Nakhon Phanom,TH,80.18599999999998,17.3333,104.4167,ป่ายางรีสอร์ท
385,Guantanamo,CU,82.23800000000006,20.1444,-75.2092,Hotel Guantánamo
386,Eirunepe,BR,78.13399999999999,-6.6603,-69.8736,Atrás de você
390,Champerico,GT,83.20999999999998,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
391,Galle,LK,81.17599999999999,6.0367,80.217,Amangalla
392,Mandiana,GN,86.108,10.6333,-8.6833,Motels rouzo
394,Carlsbad,US,77.99000000000002,33.1581,-117.3506,Carlsbad Inn Beach Resort
402,Nauta,PE,76.04600000000005,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
403,Lodwar,KE,83.15600000000003,3.1191,35.5973,Solmar Gracious Hotel
405,Hue,VN,79.17799999999997,16.4667,107.6,Saigon Morin Hotel
410,Domoni,KM,79.19600000000005,-12.2569,44.5319,Al Djadid
415,Vao,NC,75.72200000000004,-22.6667,167.4833,Hotel Kou-Bugny
420,Tuy Hoa,VN,77.684,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
424,Jesus De Otoro,HN,85.92799999999997,14.4833,-87.9833,Hotel Tosta
429,Ahuimanu,US,82.38200000000002,21.4447,-157.8378,Paradise Bay Resort
