City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Ola,RU,2022-04-27 22:27:46,59.5833,151.2833,270.03,60,100,7.83
149,San Jeronimo,PE,2022-04-27 22:27:47,-11.9472,-75.2829,288.3,66,84,2.37
150,Henties Bay,NA,2022-04-27 22:27:47,-22.116,14.2845,291.03,69,2,1.79
151,Constantine,DZ,2022-04-27 22:27:47,36.365,6.6147,289.82,72,75,1.54
152,Salalah,OM,2022-04-27 22:27:48,17.0151,54.0924,301.2,78,0,0.0
153,Karratha,AU,2022-04-27 22:27:48,-20.7377,116.8463,298.6,47,99,3.48
154,Beyneu,KZ,2022-04-27 22:27:49,45.3167,55.2,291.11,40,94,5.68
155,Hirado,JP,2022-04-27 22:27:49,33.3597,129.5531,290.03,74,85,9.39
156,Los Dos Caminos,VE,2022-04-27 22:27:50,10.4939,-66.8286,296.82,80,100,0.45
157,Manaus,BR,2022-04-27 22:27:25,-3.1019,-60.025,300.42,78,40,1.54
158,Jaciara,BR,2022-04-27 22:26:49,-15.9653,-54.9683,297.39,57,5,1.18
159,Kudahuvadhoo,MV,2022-04-27 22:26:41,2.6708,72.8944,301.9,74,97,3.06
160,Gopalur,IN,2022-04-27 22:27:51,16.6167,77.8,305.75,32,100,3.81
161,Flinders,AU,2022-04-27 22:27:51,-34.5833,150.8552,292.8,91,48,3.13
162,Thompson,CA,2022-04-27 22:27:52,55.7435,-97.8558,281.24,27,20,5.66
163,Taksimo,RU,2022-04-27 22:27:52,56.3444,114.8794,271.55,80,100,0.65
164,Hambantota,LK,2022-04-27 22:27:53,6.1241,81.1185,300.45,80,38,2.68
165,Ancud,CL,2022-04-27 22:27:53,-41.8697,-73.8203,281.6,69,18,7.27
166,Caldwell,US,2022-04-27 22:23:43,43.6629,-116.6874,292.15,32,0,5.66
167,Quelimane,MZ,2022-04-27 22:27:54,-17.8786,36.8883,297.12,78,75,3.09
168,Camocim,BR,2022-04-27 22:27:54,-2.9022,-40.8411,299.26,86,99,4.56
169,Cockburn Town,TC,2022-04-27 22:26:38,21.4612,-71.1419,299.13,53,40,6.54
170,Morant Bay,JM,2022-04-27 22:27:55,17.8815,-76.4093,298.94,77,39,5.26
171,Kismayo,SO,2022-04-27 22:27:55,-0.3582,42.5454,300.42,81,99,2.85
172,Mujiayingzi,CN,2022-04-27 22:27:56,42.1167,118.7833,280.64,41,100,1.41
173,Bataipora,BR,2022-04-27 22:27:56,-22.2953,-53.2711,298.75,57,100,1.7
174,Nanakuli,US,2022-04-27 22:27:57,21.3906,-158.1547,301.12,61,100,6.17
175,Broken Hill,AU,2022-04-27 22:27:57,-31.95,141.4333,287.99,94,90,3.6
176,Provideniya,RU,2022-04-27 22:26:52,64.3833,-173.3,271.21,80,0,3.13
177,Andros Town,BS,2022-04-27 22:27:58,24.7,-77.7667,300.13,64,100,4.83
178,Hirara,JP,2022-04-27 22:27:58,24.8,125.2833,299.3,83,40,4.63
179,Manaure,CO,2022-04-27 22:27:59,11.7751,-72.4445,301.75,66,99,7.98
180,Troitskoye,RU,2022-04-27 22:28:59,52.9821,84.6757,280.5,67,0,2.39
181,Huntingdon,GB,2022-04-27 22:29:00,52.3305,-0.1865,281.44,78,94,1.34
182,Klaksvik,FO,2022-04-27 22:29:00,62.2266,-6.589,279.66,74,97,2.45
183,Saint George,US,2022-04-27 22:29:01,37.1041,-113.5841,304.61,10,0,8.23
184,Nemuro,JP,2022-04-27 22:29:01,43.3236,145.575,278.93,58,1,7.23
185,Kutum,SD,2022-04-27 22:29:02,14.2,24.6667,300.28,13,13,3.48
186,Port Hedland,AU,2022-04-27 22:29:02,-20.3167,118.5667,298.18,73,99,1.54
187,Axim,GH,2022-04-27 22:29:02,4.8699,-2.2405,300.12,85,100,3.68
188,Kargasok,RU,2022-04-27 22:29:03,59.0556,80.8572,280.52,77,98,5.71
189,Anadyr,RU,2022-04-27 22:26:45,64.75,177.4833,273.43,80,75,8.0
190,East London,ZA,2022-04-27 22:21:01,-33.0153,27.9116,289.42,80,0,5.45
191,Vestmannaeyjar,IS,2022-04-27 22:29:04,63.4427,-20.2734,281.03,79,76,0.92
192,Lyuban,BY,2022-04-27 22:29:05,52.7985,28.0048,276.31,66,11,2.71
193,Naze,JP,2022-04-27 22:29:05,28.3667,129.4833,294.66,89,97,3.06
194,Atbasar,KZ,2022-04-27 22:29:06,51.8,68.3333,285.71,54,96,4.48
195,Gat,IL,2022-04-27 22:29:06,31.61,34.7642,294.48,70,1,1.55
196,Ribeira Grande,PT,2022-04-27 22:29:07,38.5167,-28.7,291.04,91,92,13.92
197,San Ramon De La Nueva Oran,AR,2022-04-27 22:29:07,-23.1322,-64.326,300.56,64,88,1.0
198,Alihe,CN,2022-04-27 22:29:08,50.5667,123.7167,273.41,53,0,1.03
199,Maceio,BR,2022-04-27 22:29:08,-9.6658,-35.7353,299.84,78,0,2.06
200,Lucea,JM,2022-04-27 22:29:09,18.451,-78.1736,301.07,71,38,6.79
